Group,Solution Id,Language,Complaint Id,Sysmtom,Confirmation,Check Point,Procedure,Root Cause,Solution,Key,is_active
AB,689,English,76,High differential pressure water filter alarm,Differential pressure is higher than the set pressure,Is the water filter element choked,Dismantle water filter element from assembly and check for any dust partical accumulation,1) Water filter element choked/Clogged with dust 2) Maintenance schedule not followed 3) Water quality is poor,1) Clean and replace the water filter element 2) Physical inspection for any sediments in the water at site 3) Check the water quality from lab 4) Flush the water system and replace new water completely,Water filter element,0
AB,690,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Check water level tube (Units with Constant drain valve-CDV),Check if the water level is above level tube during running,Low water level in water Separator tank,Top-up and maintain the water above the water level tube,Water separator tank,0
AB,691,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Check water level tube (Units with sump Auto drain valve-ADV),Check if the water level is half of level tube during running,Low water level in water Separator tank,Top-up and maintain the water half of water level tube,Water separator tank,0
AB,692,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Check water carryover at discharge line air receiver downstream filters and customer utility point,Phycially check downstream accessories drain points and utility usage points for excess water condensate,1) High water level in the tank due to Constant drain valve (CDV) line chocked 2) Damaged water separator element 3) After cooler MOS choked,1) Check CDV strainer and orifice for any blockage Clean or replace as required 2) Replace the water separator element 3) Clean or replace the MOS auto drain valve 4) Top-up and maintain the water above the water level tube,Constant drain valve (CDV),0
AB,693,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Check for high discharge air water temperature,1)Check for any warning / trip in controller fault history 2)Check the fan motor current and fan motor body temperature 3)Check the air flow (hot air from the cooler out),1) High room temperature due to poor ventilation 2) Restriction in the cooler exhaust duct (customer scope) 3) Restriction or hot air back flow due to cooler chock,1)If the compressor room temperature above the specified level contact ELGi 2)Verify the exhaust duct design or provision for exhaust fan for improving air flow 3)Clean the cooler with compressed air such that the air passes from inside to out,,0
AB,694,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Check RH (Relative Humidity) level at customer site,RH level at local site condition,High RH level at site,Contact ELGI for further details,,0
AB,695,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Is the load/unload count high?,Check the load count and run hour Load count should be less than 30 per hour,Frequent load and unloading,1) Intermittent excess air demand due to application 2)Check the operating pressure band 3)Check the possibility of increasing the receiver size,,0
AB,696,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Check for High air demand at customer side,Check the discharge pressure at the utility point and it should not go below 5 bar from working pressure,Operating at low working pressure may lead to heavy water carryover,Check the possibility of running the machine at rated pressure. Customer may need to go for additional machine,,0
AB,697,English,77,Water carryover,Water carry over observed in discharge line/Air receiver/Down stream filter and customer utility side.,Check water separator condition and maintenance schedule,Remove the water separator element and check dust entry level (visual check),Differential pressure increased (before and after separation),Replace the water separator element,Water separator element,0
AB,698,English,78,Low seal air pressure,Low seal air pressure in controller display,Check the low seal air pressure in controller,Check if the ball valve is in partially open condition,Seal air pressure ball valve is not fully open condition,Open and adjust the ball valve as per specification,,0
AB,699,English,78,Low seal air pressure,Low seal air pressure in controller display,Check the air supply to the seal air manifold,1) Check the seal air control line circuit for any leakages 2) Open the seal air moisture filter element and check the condition,1)Nylon tube bent/damage & leakage in fittings 2)Choked MOS element,1)Replace the nylon tube & fittings 2)Clean or replace MOS element,MOS element,0
AB,700,English,78,Low seal air pressure,Low seal air pressure in controller display,Check the Malfunctioning of Seal air pressure transmitter,Cross check the pressure transmitter with source meter,Pressure transmitter failure,Replace the pressure transmitter,Pressure transmitter,0
AB,701,English,78,Low seal air pressure,Low seal air pressure in controller display,Check if the air demand is high at customer site,Check the line pressure with machine rated pressure,The operating pressure may be lesser than the rated pressure of compressor by 1 bar,Suggest the customer to run the machine at rated pressure (Customer may need to go for additional machine or increase the air receiver capacity),,0
AB,702,English,79,Low water level,Low water level in air water sump,Check the water level in the air water sump,Visually check the water level in sight tube,1)Water level lower than the recommended operating level 2)Water leakage through airend vent hole during running 3)Water leakage through airend vent hole during shutdown 4)Water carry over through discharge line,1)Top up the water as per recommended quantity and monitor 2)Check the seal air pressure (Ref low seal air pressure trouble shooting) 3)Check the discharge check valve condition and replace if required & Check the water stop valve condition and replace if required 4)Refer water carry over on service line trouble shooting,"Low water level, Seal air pressure",0
AB,703,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check water level tube (Units with Constant drain valve- CDV),Check if the water level is above level tube during running,Low water level in the Water separator tank,Top-up and maintain the water above the water level tube,Low water level in Water separator tank,0
AB,704,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check water level tube (Units with sump Auto drain valve -ADV),Check if the water level is half of level tube during running,Low water level in the water Separator tank,Top-up and maintain the water half of water level tube,Water separator tank,0
AB,705,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check cooling fan function and its condition,Physical inspection of cooling fan rotation and check control fuse,Fuse blown prematurely/Cooling fan failed,Replace the fan and fuse,Cooling fan failure,0
AB,706,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Is the cooling fan rotating in wrong direction,Check hot air moves from package inside to outside,Wrong phase connection,Check electrical circuit and correct connections as per recommendation,Cooling fan Fan,0
AB,707,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check whether the cooling fan is rotating at full speed,Check star delta connections/wire loose connections if any at fan terminal side,1) Wire loose connection 2)Wrong connection,1)Tighten the wire 2)Check electrical circuit and correct connections as per recommendation,,0
AB,708,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check Air filter condition,Dismantle the Air filter element from assembly and check,Air filter element choked with dust,Clean or replace,Air filter element,0
AB,709,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Is the compressor Room temperature and Ambient temperature is within limit,Check temperature by using scanner,Suction temperature is higher than the recommendation,Increase the room ventilation,,0
AB,710,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check water filter element for any dust entry,Dismantle water filter assembly and check the element condition,Choked water filter element,Replace the water filter element,Water filter element,0
AB,711,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Is the water evacuation is more from airend vent holes to Canopy drain point,While running the unit on load / unload check the water level and amount of water moving from vent holes to drain point,Low air seal pressure setting,Reset the seal air pressure as per recommendation (0.2 bar to 0.5 bar max),,0
AB,712,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check seal air pressure MOS element,Dismantle MOS assembly and check filter element condition physically,Seal air pressure MOS filter element choked prematurely,Replace the seal air pressure MOS element/assembly,Seal air pressure MOS element,0
AB,713,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check for the water carryover through the service line,Check water in discharge line from Receiver tank before air dryer Check service MOS water accumulation for one hour Check any water carry over at utility points,Check RH level and it could be very low (Less than 25%),Top up the water to half level in shut down condition,,0
AB,714,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check water cooler condition,Physically check if water cooler fins clogged with dust externally,Dust accumulation in water cooler fins externally,Clean the water cooler fins with 2 bar (29 Psi) air pressure while the unit is in shut down condition,Water cooler,0
AB,715,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check water stop valve function and its condition,Dismantle WSV assembly from the unit and check functioning of solenoid valve,Solenoid valve malfunctioning,Replace the Water stop valve,Water stop valve (WSV),0
AB,716,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check load and unload pattern,Check load count and run hour in controller Load count should be less than 30 per hour,Frequent load and unload,1) Intermittent excess air demand due to application 2)Check the possibility of increasing the receiver size 3)Check the operating pressure band,,0
AB,717,English,80,High discharge water temperature,High water temperature alarm/trip in controller display,Check the temperature reading in controller,Check the temperature sensor resistance value by using multimeter (Located at discharge line from airend to tank),Temperature sensor malfunction,Replace the temperature sensor,Temperature sensor,0
AB,718,English,81,High oil temperature,High oil temperature alarm in controller,Is the cooling water temperature is high,Check the inlet water temperature by using temperature scanner,High inlet water temperature,Refer the troubleshooting guidelines for high water temperature,,0
AB,719,English,81,High oil temperature,High oil temperature alarm in controller,Check the oil level airend discharge and suction side,It should be half glass visible in level glass after shut down,Low oil level,Top-up the oil,,0
AB,720,English,81,High oil temperature,High oil temperature alarm in controller,Check the condition of oil,Visual check,Oil thickened and contaminated,Replace the oil,,0
AB,721,English,81,High oil temperature,High oil temperature alarm in controller,Check the Temperature sensor malfunction,1)Check the adapter loose connection 2)Check the temperature sensor (check the resistance value against temperature degree),1)Wire loose connection in temperature sensor adapter 2)Temperature sensor malfunction,1)Tighten the connection with adapter 2)Replace the sensor,Temperature sensor,0
AB,722,English,82,Sump Pressure not developing,Controller trip due to sump pressure not developing (After the start sump pressure should be at least 0.3 bar/4 psi after start delay expires),Check pulse line tubes leakage /BDV line tube leakage,Close the discharge service line ball valve and run the unit on unload condition The machine should run continously in unload mode,Leakage in the solenoid valve pulse line and BDV pulse line,Replace the solenoid valve pulse line and BDV pulse line,,0
AB,723,English,82,Sump Pressure not developing,Controller trip due to sump pressure not developing (After the start sump pressure should be at least 0.3 bar/4 psi after start delay expires),Check leakage in Tank top plate O ring,Remove the tank top plate and check the O ring condition,During unloading sump pressure will not develop,Replace the O ring and retighten the tank top plate bolts with specific torque,,0
AB,724,English,82,Sump Pressure not developing,Controller trip due to sump pressure not developing (After the start sump pressure should be at least 0.3 bar/4 psi after start delay expires),Check BDV function and its condition,Remove BDV assembly and check internal parts,Continuous air leakage in BDV,Replace the BDV assembly,,0
AB,725,English,82,Sump Pressure not developing,Controller trip due to sump pressure not developing (After the start sump pressure should be at least 0.3 bar/4 psi after start delay expires),Check no load sump pressure setting in controller,Monitor sump pressure reading while unloading and it should maintain 13 bar to 16 bar (19 psi to 24 psi),Low sump pressure settings,Adjust no load sump pressure screw in Intake valve assembly and set it as per specification,,0
AB,726,English,82,Sump Pressure not developing,Controller trip due to sump pressure not developing (After the start sump pressure should be at least 0.3 bar/4 psi after start delay expires),Check Intake valve actuator position,Remove the suction duct and check the intake valve flap position,Failure of intake valve actuator,Replace the actuator,Intake valve actuator,0
AB,727,English,82,Sump Pressure not developing,Controller trip due to sump pressure not developing (After the start sump pressure should be at least 0.3 bar/4 psi after start delay expires),Check Seal air ball valve position and pressure,Check seal air pressure in controller,Seal air pressure ball valve in closed condition,Open and adjust the ball valve as per specification,Seal air pressure,0
AB,728,English,82,Sump Pressure not developing,Controller trip due to sump pressure not developing (After the start sump pressure should be at least 0.3 bar/4 psi after start delay expires),Check MPV condition during unloading It should close 100%,Close the discharge service line ball valve and run the unit on unload condition The machine should run continously unload mode If not check MPV kit condition,Failure of MPV O rings and spring,Replace MPV kit or MPV assembly,Minimum pressure valve (MPV) kit,0
AB,729,English,83,Vibration/chattering in the water line near water filter,Check if any vibration observed in Water filter inlet and injection line,Check the water filter element,Remove the water filter element from assembly and check the filter condition,Choked water filter element,Replace the water filter element,Water filter element choke,0
AB,730,English,83,Vibration/chattering in the water line near water filter,Check if any vibration observed in Water filter inlet and injection line,Check the Water stop valve (WSV) condition and functioning,1)Wire loose connections in WSV and controller side 2)Provide appropriate power supply to WSV and check the valve working condition,1)Wire loose connection 2) Water stop valve malfunction,1)Correct the loose wire connection 2)Replace the water stop valve,Water stop valve (WSV),0
AB,731,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check the power supply to the compressor,Check the incoming power supply,Incoming power supply disconnected,Restore the incoming power supply,Power supply,0
AB,732,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check if the incoming voltage is below limit,1)Check the incoming voltage with multimeter for all three phases 2)Check the isolator capacity and its location from compressor unit 3)Check the cable size,1)Low voltage lead to tripping of machine while starting 2)Isolator kept in long distance may create low voltage shutting down electricity to the machine may take longer time in case of emergency 3)Wrong selection of cable size,1)Check the incoming voltage and ensure sufficient power back up 2)Ensure the isolator is within 5m (16 feet) from the compressor 3)Select the correct cable size from cable selection chart,Low voltage,0
AB,733,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check if the Emergency stop switch in pushed condition,Check the emergency stop switch,Emergency stop switch in locked condition,Rotate counter-clockwise direction and release,Emergency stop switch,0
AB,734,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check if the Emergency stop switch malfunctioning,1)Check the emergency stop switch 2)Check wire loose connection back side of emergency stop switch,1)Emergency stop switch damaged 2)Wire loose connection,1)Clean or replace the emergency switch 2)Tighten the wires at terminals,Emergency stop switch damaged,0
AB,735,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Is the isolator fuse blown,1)Check the fuse rating 2)Check the short circuit inside the control panel 3)Check the dedicated isolator provided to the compressor 4)Use megger and check the motor winding/body short (Megger value should be less than 10 mega ohms),1)Wrong fuse rating used 2)Short circuit within control panel 3)Dedicated isolator is not provided to the compressor 4)Motor failure due to winding and body short,1)Select correct fuse rating from selection chart 2)Correct the short circuit inside the control panel (power and control circuit) 3)Dedicated isolator to be provided to the compressor 4)Rewind/replace the motor if motor failed due to winding and body short,Isolator fuse,0
AB,736,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check if the incoming phase-to-phase voltage imbalance is more than 5V,1)Check the incoming voltage 2)Check the incoming transformer tapping 3)Check the customer side power factor,1)Voltage imbalance between phase to phase 2) transformer tapping 3) Customer side power factor is less,1)Correct the incoming voltage 2)Adjust the main incoming transformer tapping 3)Correct the power factor to less than unity,,0
AB,737,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Is the Control MCB malfunctioning,Check the MCB input and output voltage,MCB malfunction,Replace the MCB,MCB,0
AB,738,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check if the control fuses inside compressor control panel blown,1)Check for any short circuit or loose connection 2)Check the solenoid valve and control transformer condition 3)Check the control fuse (glass fuse),1)Short circuit or loose connection in control circuit 2)Failure of solenoid valve and control transformer 3)Control circuit glass fuse blown,1)Correct the short circuit and tighten wires in control circuit 2)Replace the solenoid valve / control transformer if defective 3)Replace the glass fuse,,0
AB,739,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check if the control transformer fuse blown,Check the control transformer primary and secondary output voltage,Control transformer failure,Replace the control transformer if defective,,0
AB,740,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check the power supply to Neuron controller,1)Check the control fuse (Glass fuse) 2)Check the transformer secondary side control fuse 3)Check the wire loose connection in controller input side 24 V AC,1)Failure of control fuse(Controller input side) 2)Failure of control fuse (Transformer secondary side) 3)Wire loose connection,"1)Replace the glass fuse (0.25A for controller, 0.5A for the control circuit) 2)Replace the control transformer fuses 3)Retighten the wire and ensure the 24V AC power supply to Neuron controller",,0
AB,741,English,84,Compressor not starting,Check if the compressor does not start upon the following conditions 1 MCCB or Isolator turned ON 2 Power supply available 3 Emergency push button released condition 4 Neuron display in RUN mode,Check the display in Neuron controller,1)Check the control transformer primary and secondary side control fuse 2)Check the control transformer primary and secondary output voltage 3)Check the loose connections in controller connectors 4)Check the 24 V AC input supply,1)Control fuse failure (transformer secondary side) 2)Control transformer failure 3)Wire loose connection in connectors 4)Neuron controller failure,1)Replace the control fuse 2)Replace the control transformer (50VA) 3)Ensure the tightness of wires in connectors 4)If 24V power supply to Neuron controller is correct then replace with a new Neuron controller,,0
AB,742,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Is the high sump pressure setting value is above specification,Check the high sump pressure set value from controller factory settings,High sump pressure setting value disturbed,Check and correct the unload pressure and high sump pressure values in Neuron controller as per specification,High sump pressure,0
AB,743,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Is the unload pressure set value is above specification,Check the unload pressure set value from controller operator setting,High sump pressure setting value disturbed,Check and correct the unload pressure and high sump pressure values in Neuron controller as per specification,,0
AB,744,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Is the high sump pressure set value is below specification,Check the high sump pressure set value from controller factory settings,High sump pressure setting value disturbed,Check and correct the unload pressure and high sump pressure values in Neuron controller as per specification,,0
AB,745,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Check the intake valve malfunction,1)Check the function of intake valve opening and closing 2)Check the solenoid valve condition 3)Check the actuator condition opening and closing,1)Intake valve internal parts damage (Butterfly valve loosen) 2)Solenoid valve plunger struck up 3)Actuator struck up,1)Replace the intake valve kit 2)Clean or replace the solenoid valve assembly 3)Replace the actuator kit,Intake valve internal parts damage,0
AB,746,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Check the BDV malfunction,Check free movement of piston inside the blow down valve,Blow down valve internal parts damage,Replace the blow down valve assembly,Blow down valve (BDV) internal parts damage,0
AB,747,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Check if the compressor started with air outlet ball valve closed,Check the outlet ball valve position (closed or Open),Ball valve in closed condition,Open the outlet ball valve,Outlet ball valve,0
AB,748,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Check the pressure transmitter malfunction,Check the pressure transmitter using multimeter,Pressure transmitter failure,Replace the pressure transmitter,Pressure transmitter failure,0
AB,749,English,85,High Sump Pressure and trip,If sump pressure exceeds the set high sump pressure value,Check the minimum pressure valve (MPV) malfunction,Check MPV pressure by using pressure guage in separator tank,MPV struck and kit damaged,Replace the MPV kit,Minimum pressure valve (MPV) struck,0
AB,750,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check the pre- filter condition,Remove the pre-filter from canopy and check visually,Pre-filter choke,Clean the pre-filter with compressed air at less than 2.5 bar /36.3 Psi. Refit the filter after cleaning Check and replace as per maintenance schedule,Pre filter,0
AB,751,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check air filter element condition,Remove the air filter and check visually,Air filter element choke,Check and replace as per maintenance schedule,Air filter element,0
AB,752,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check if the air requirement is more than compressor capacity,1) Check the air leakage 2) Excess pressure drop in pipe line 3) Working pressure is lower than required application pressure,1&2) Air leakages in the pipeline and utility point 3) Pressure not built up due to excess air demand,Arrest all pipeline leakages Contact nearest ELGI branch,,0
AB,753,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check the control air supply to solenoid valve,Air leakage in the control line tube,Control line tubes broken,Replace the control line tubes,,0
AB,754,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Is solenoid valve malfunctioning,1) Check the solenoid valve control supply and valve condition 2) Check the solenoid valve orifice,1) Control supply got disturbed or solenoid valve failure 2) Blockage in orifice,1) Replace the solenoid valve assembly 2) Clean the orifice,Solenoid valve,0
AB,755,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check the electrical supply to solenoid valve,Check the electrical supply from controller,R04-Relay failure in controller,Replace the neuron controller,,0
AB,756,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check the Intake valve malfunction,Check the intake valve condition ( open and close),Intake valve internal parts damage or struck up,Check and replace the intake valve kit,Intake valve,0
AB,757,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check the Blow down valve (BDV) malfunction,Check free movement of piston inside the blow down valve Check the BDV orifice,Blow down valve internal parts damage or struck up Blockage in orifice,Check and change the BDV assembly Clean the orifice,Blow down valve (BDV),0
AB,758,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check the minimum pressure valve (MPV) malfunction,Check the MPV condition,MPV internal parts damage or struck up,Check and change the MPV kit If required replace the MPV assembly,Minimum pressure valve (MPV),0
AB,759,English,86,Pressure not building up,Compressor unable to build the specified working pressure,Check if the Pressure drop across water separator element increased,Check the separator element condition,Water separator element choke,Replace the water separator element Check and replace the water if required based on water condition,,0
AB,760,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check for main motor overload,Check if the motor draws high current,Thermal load on motor is more than its capacity,"1) Room temperature is excessively high, improve ventilation. 2) Contact nearest ELGi office",Main motor,0
AB,761,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check for Fan motor overload,Visually check the cooler fins for dust accumulation,Cooler choked due to dust entry,Clean the cooler externally,,0
AB,762,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check the water separator element condition,Pressure drop across water separator element increased,Air water separator element choked,Replace the air water separator element,Water separator element,0
AB,763,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check the water filter element condition,Remove the water filter element and check the condition,Water filter choked due to dust entry,Replace the water filter element,Water filter element,0
AB,764,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check air filter element condition,Visually check the air filter condition,Air filter choked due to dust entry,Replace the air filter element,,0
AB,765,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check the customer side air demand,Machine runs with higher working pressure,Due to excess air demand,Contact nearest ELGI branch office,,0
AB,766,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check if the re-greasing of motor interval missed,Check the schedule maintenance record from customer log book,Non adherence of maintenance schedule,Customer to adhere the maintenance schedule as per our recommendation,,0
AB,767,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check if the wrong grease and quantity used,Refer motor name plate details,Excess grease applied,Use exact quantity and correct grease,Motor grease,0
AB,768,English,87,Main Motor and fan motor overload,Check if controller display shows compressor tripped due to main and fan motor overload,Check the abnormal noise during running,Pre-mature failure of motor bearings,Non adherence of maintenance schedule,Replace the motor DE and NDE bearing,,0
AB,769,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check the Solenoid valve malfunction,1)Check the control pulse line to solenoid valve 2)Check solenoid valve orifice 3)Check solenoid valve condition 4)Check the solenoid valve input supply from controller,1)Leakage in control pulse line 2)Blockage in solenoid valve orifice 3)Failure of solenoid valve 4) Load/unload relay R04 failure in controller,1)Check and replace the control pulse line 2)Clean the orifice 3)Replace the solenoid valve assembly 4)Replace the Neuron controller,Solenoid valve Neuron controller Orifice,0
AB,770,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check the Intake valve malfunction,Check intake valve condition,Intake valve internal parts damaged,Replace the intake valve kit,Intake valve,0
AB,771,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check the Blow-down valve malfunction,Check Blow down valve condition,Blow down valve internal parts damaged,Replace the BDV assembly,Blowdown valve - BDV,0
AB,772,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check the Minimum Pressure Valve (MPV) malfunction,Check the MPV condition,MPV internal parts damaged,Replace the MPV kit,Minimum Pressure valve (MPV),0
AB,773,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check for the Actuator malfunction,Check the intake valve actuator condition,Actuator kit damaged,Replace the actuator kit,Actuator,0
